target,predicted
diʔ ʔa'lam ni to'mas na ɡano'ʔoŋ nakaka'tawa si ma'ɾia,diʔ ʔa'lam ni to'mas na ɡano'ʔoŋ nakakata'wa si ma'ɾia
si'a 'lamaŋ ʔaŋ duma'tiŋ sa 'paɾti,si'a 'lamaŋ ʔaŋ duma'tiŋ sa 'paɾti
ʔipapali'wanaɡ ko ʔaŋ la'hat mama'jaʔ,ʔipapali'wanaɡ ko ʔaŋ la'hat mama'jaʔ
ʔa'lam ko kuŋ sa'ʔan si'a naŋɡa'liŋ,ʔa'lam ko kuŋ sa'ʔan si'a naŋɡa'liŋ
pu'ede ʔa'koŋ maɡpa'lit 'ʔajaw ki'taŋ maɡpa'lit,pu'ede ʔa'koŋ maɡpa'lit 'ʔajaw ki'taŋ maɡpa'lit
ʔaŋ ʔak'lat na ʔi'to ʔaj hin'diʔ kasiŋʔinteɾe'sante kaj'sa sa ʔak'lat na ʔi'on,ʔaŋ ʔak'lat na ʔi'to ʔaj hin'diʔ kasiŋʔinteɾe'sante kaj'sa sa ʔak'lat na ʔi'on
nakasu'ʔot naŋ ta'koŋ si 'meɾi,nakasu'ʔot naŋ ta'koŋ si 'meɾi
bun'dat na namumulak'lak ʔaŋ ma'ŋa 'punoŋ ʔalbaɾi'koke,bun'dat na namumulak'lak ʔaŋ ma'ŋa 'punoŋ ʔalbaɾi'koke
'dapat maɡla'kad ka 'laŋ papun'ta do'ʔon,'dapat maɡla'kad ka 'laŋ papun'ta do'ʔon
ʔaŋ 'bawat 'taʔoj sumi'ɡaw,ʔaŋ 'bawat 'taʔoj sumi'ɡaw
sa'ʔan naɡlala'ɾoʔ si 'toni,sa'ʔan naɡlala'ɾoʔ si 'toni
ʔaŋ 'sidni ʔaj ma'lajoʔ mu'laʔ 'ɾito,ʔaŋ 'sidni ʔaj ma'lajoʔ mu'la 'ɾito
ma'haŋin,ma'haŋin
buma'lik ka 'dito,buma'lik ka 'dito
wa'laʔ 'kaŋ maha'hanap na ʔi'ba na ɡaɡa'waʔ ni'an 'paɾa sa ʔi'o,wa'laʔ 'kaŋ maha'hanap na ʔi'ba na ɡaɡa'waʔ ni'an 'paɾa sa ʔi'o
nakati'ɾa si'a sa 'bahaj do'ʔon,nakati'ɾa si'a sa 'bahaj do'ʔon
ma'ɾunoŋ ka 'baŋ ɡuma'waʔ naŋ ma'ŋa plas'kaɾds,ma'ɾunoŋ ka 'baŋ ɡuma'waʔ naŋ ma'ŋa 'plaskaɾds
ʔumu'bo si 'tom,ʔumu'bo si 'tom
ʔa'ɡadʔa'ɡad mo na si'aŋ dal'hin sa dok'toɾ,ʔa'ɡadʔa'ɡad mo na si'aŋ dal'hin sa dok'toɾ
la'hat ʔaj naŋja'jaɾi naŋ maj dahi'lan,la'hat ʔaj naŋja'jaɾi naŋ maj dahi'lan
