target,predicted
diʔ ʔa'lam ni to'mas na ɡano'ʔoŋ nakaka'tawa si ma'ɾia,di alam ni tomas na ɡanooŋ nakakatawa si maɾia
si'a 'lamaŋ ʔaŋ duma'tiŋ sa 'paɾti,sija lamaŋ aŋ dumatiŋ sa paɾti
ʔipapali'wanaɡ ko ʔaŋ la'hat mama'jaʔ,ʔipapaliwanaɡ ko aŋ lahat mamaja
ʔa'lam ko kuŋ sa'ʔan si'a naŋɡa'liŋ,ʔalam ko kuŋ saan sija naŋɡaliŋ
pu'ede ʔa'koŋ maɡpa'lit 'ʔajaw ki'taŋ maɡpa'lit,"""puwede akoŋ maɡpalit"" ""ajaw kitaŋ maɡpalit"""
ʔaŋ ʔak'lat na ʔi'to ʔaj hin'diʔ kasiŋʔinteɾe'sante kaj'sa sa ʔak'lat na ʔi'on,ʔaŋ aklat na ito aj hindi kasiŋ-inteɾesante kajsa sa aklat na ijon
nakasu'ʔot naŋ ta'koŋ si 'meɾi,nakasuot ŋ takoŋ si maɾj
bun'dat na namumulak'lak ʔaŋ ma'ŋa 'punoŋ ʔalbaɾi'koke,bundat na namumulaklak aŋ mɡa punoŋ albaɾikoke
'dapat maɡla'kad ka 'laŋ papun'ta do'ʔon,dapat maɡlakad ka laŋ papunta doon
ʔaŋ 'bawat 'taʔoj sumi'ɡaw,ʔaŋ bawat tao'j sumiɡaw
sa'ʔan naɡlala'ɾoʔ si 'toni,saan naɡlalaɾo si toɲ?
ʔaŋ 'sidni ʔaj ma'lajoʔ mu'laʔ 'ɾito,ʔaŋ ʃdnej aj malajo mula ɾito
ma'haŋin,mahaŋin
buma'lik ka 'dito,bumalik ka dito
wa'laʔ 'kaŋ maha'hanap na ʔi'ba na ɡaɡa'waʔ ni'an 'paɾa sa ʔi'o,wala kaŋ mahahanap na iba na ɡaɡawa nijan paɾa sa ijo
nakati'ɾa si'a sa 'bahaj do'ʔon,nakatiɾa sija sa bahaj doon
ma'ɾunoŋ ka 'baŋ ɡuma'waʔ naŋ ma'ŋa plas'kaɾds,maɾunoŋ ka baŋ ɡumawa ŋ mɡa plaskaɾds?
ʔumu'bo si 'tom,ʔumubo si tom
ʔa'ɡadʔa'ɡad mo na si'aŋ dal'hin sa dok'toɾ,ʔaɡad-aɡad mo na sijaŋ dalhin sa doktoɾ
la'hat ʔaj naŋja'jaɾi naŋ maj dahi'lan,lahat aj naŋjajaɾi naŋ maj dahilan
hin'diʔ masa'ja 'nuŋ liŋ'ɡo,hindi masaja nuŋ liŋɡo
ʔina'lis ni'a ʔaŋ ma'ŋa piŋ'ɡan sa 'mesa paɡka'tapos naŋ ha'punan,ʔinalis nija aŋ mɡa piŋɡan sa mesa paɡkatapos ŋ hapunan
ʔa'noŋ 'ʔiŋaj ʔi'on,ʔanoŋ iŋaj ijon?
pina'ŋakoʔ 'koŋ hin'diʔ ʔa'ko maɡsa'sabi sa kan'ja,pinaŋako koŋ hindi ako maɡsasabi sa kaɲa
napa'kahabaʔ na'man naŋ panta'loŋ ʔi'an 'halos ʔa'bot sa'hiɡ,napakahaba naman ŋ pantaloŋ ijan halos abot sahiɡ
ipadada'la naŋ ko'ɾeo ʔaŋ 'sulat 'bukas,ʔipadadala naŋ koɾeo aŋ sulat bukas
nada'paʔ si'a sa sa'hiɡ,nadapa sija sa sahiɡ
sa 'bukid no'ʔon naɡʔa'laɡaʔ ʔaŋ la'hat naŋ ma'nok ʔat ko'neho,sa bukid noonˌ naɡ-alaɡa aŋ lahat ŋ manok at koneho
'bataʔ ka pa,bata ka pa
susu'bukan 'koŋ hu'aɡ 'kaŋ ʔaba'lahin 'habaŋ naɡʔa'ʔaɾal ka,susubukan koŋ huwaɡ kaŋ abalahin habaŋ naɡ-aaɾal ka
ʔo'ke 'laŋ ba sa'joŋ tulu'ŋan ʔa'ko sa tɾa'bahoŋ ʔi'on,ʔok laŋ ba sajo'ŋ tuluŋan ako sa tɾabahoŋ ijon?
kaʔi'laŋan 'koŋ ʔumu'iʔ naŋ ma'ʔaɡa naŋ kaʔun'tiʔ ŋa'jon,kailaŋan koŋ umuwi naŋ maaɡa naŋ kaunti ŋajon
paɡ'ka pinaɡʔuʔu'sapan ni'a ʔaŋ 'hobi ni'a pa'laɡiʔ si'aŋ 'paɾaŋ seɾ'joso,paɡka pinaɡ-uusapan nija aŋ hobbj nijaˌ palaɡi sijaŋ paɾaŋ seɾjoso
hin'diʔ 'kajaŋ bumi'li naŋ 'baɡoŋ bisik'leta ni 'dʒak,hindi kajaŋ bumili ŋ baɡoŋ bisikleta ni d͡ʒakk
na'baɡo ʔaŋ 'buhaj ko mu'la naŋ naki'lala ko si'a,nabaɡo aŋ buhaj ko mula naŋ nakilala ko sija
naɡtatɾa'baho si'a sa ɡa'bi,naɡtatɾabaho sija sa ɡabi
hu'aɡ 'kaŋ maɡla'kad naŋ sa'ɾili paɡ'ka madi'lim na,huwaɡ kaŋ maɡlakad naŋ saɾili paɡka madilim na
ʔi'to ʔaj hin'diʔ paŋu'ŋusap,ʔito aj hindi paŋuŋusap
ɡus'to ni'laŋ paɡʔu'sapan ʔaŋ ma'ŋa 'baɡaj tuŋ'kol sa ɾelihi'on,ɡusto nilaŋ paɡ-usapan aŋ mɡa baɡaj tuŋkol sa ɾelihijon
'bakit ka'jaʔ ni'a ɡina'waʔ ʔi'on,bakit kaja nija ɡinawa ijon?
